plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
254255.92458661643,0.0,True,1339318.4165193914,True,0.0,21998287.1816163,True,0.0,True
87573.10610025068,0.0,True,1888829.2469692845,True,0.0,22110276.218206983,True,0.0,True
14725.531721363754,0.0,True,4166519.7533702627,True,0.0,37756538.32110125,True,0.0,True
28168.28030715244,0.0,True,1711120.9824474948,True,0.0,21206162.029683292,True,0.0,True
60247.85050621869,0.0,True,3340375.8063381985,True,0.0,50676018.74372839,True,0.0,True
107280.91797276476,0.0,True,3985404.777906419,True,0.0,63137381.756089844,True,0.0,True
0.0,41266.583483803806,False,2349887.213330738,True,0.0,42318723.48962925,True,0.0,False
42480.99321712766,0.0,True,1786173.1449017543,True,0.0,24189042.323732845,True,0.0,True
0.0,66856.11974150622,False,2169777.6505011227,True,0.0,12565659.2847184,True,0.0,False
6538.436034684117,0.0,True,1711860.3532771368,True,0.0,26700498.720545605,True,0.0,True
126047.07805044678,0.0,True,1937199.957786698,True,0.0,39040076.35504872,True,0.0,True
217067.98551494427,0.0,True,2157162.9131232384,True,0.0,19508738.075586177,True,0.0,True
114078.4922620904,0.0,True,2394447.3812711025,True,0.0,27311507.65818059,True,0.0,True
22064.89527751594,0.0,True,1243701.410422354,True,0.0,20654258.52391108,True,0.0,True
240888.0663382396,0.0,True,926198.1020622596,True,0.0,7649958.28485177,True,0.0,True
0.0,835.2662717815729,False,2408639.181192021,True,0.0,23736797.570980374,True,0.0,False
0.0,9857.576560419038,False,2412182.7387624844,True,0.0,20568967.223290253,True,0.0,False
113225.87854912617,0.0,True,989238.4506794547,True,0.0,12542051.529986124,True,0.0,True
3555.726266049187,0.0,True,1702655.5813147617,True,0.0,13320131.806167472,True,0.0,True
104557.2419411767,0.0,True,2162890.9400406117,True,0.0,30307479.65283281,True,0.0,True
155907.7691639993,0.0,True,1917662.5274423508,True,0.0,46764222.76104687,True,0.0,True
34372.95037908378,0.0,True,3288233.9767495436,True,0.0,27198635.01711557,True,0.0,True
238358.89432519607,0.0,True,1059430.9537353201,True,0.0,11251155.003043935,True,0.0,True
63816.24631757403,0.0,True,1253279.0241726644,True,0.0,17418262.800928503,True,0.0,True
185449.24823241922,0.0,True,4099574.134445377,True,0.0,143115314.4426387,True,0.0,True
0.0,5866.13512892992,False,1147966.570630823,True,0.0,14524139.745794749,True,0.0,False
131251.51989170912,0.0,True,2044685.1779061747,True,0.0,88444416.04405425,True,0.0,True
92153.30314807103,0.0,True,1723687.0484357264,True,0.0,12383795.737885054,True,0.0,True
355244.4955986391,0.0,True,2042161.8434821973,True,0.0,30610055.335880786,True,0.0,True
93024.35623843038,0.0,True,3727465.7065335265,True,0.0,24942213.341019906,True,0.0,True
19587.39416908646,0.0,True,1463784.192437264,True,0.0,11065682.111353006,True,0.0,True
496689.6800063731,0.0,True,2026912.4377676903,True,0.0,5435777.42430225,True,0.0,True
108216.82790171566,0.0,True,1623414.1785952304,True,0.0,41057121.91009248,True,0.0,True
7366.8618488576685,0.0,True,4337744.397624692,True,0.0,121858567.40007296,True,0.0,True
188588.6124772663,0.0,True,2080202.8579088016,True,0.0,36752665.36078895,True,0.0,True
0.0,25360.479736388166,False,3796834.240057931,True,0.0,68777112.27513723,True,0.0,False
77354.01075830728,0.0,True,1939681.660757614,True,0.0,35351961.174818255,True,0.0,True
0.0,47541.525328069634,False,2396908.293300669,True,0.0,22346114.768419717,True,0.0,False
0.0,45493.41140372862,False,1724262.298228623,True,0.0,31327810.6839518,True,0.0,False
130793.67789296922,0.0,True,2977639.135288328,True,0.0,56277248.73532364,True,0.0,True
26910.16349172243,0.0,True,6543393.103107627,True,0.0,145165010.0468696,True,0.0,True
0.0,11783.126626753572,False,1972636.6169098956,True,0.0,7408224.780634932,True,0.0,False
95966.12767308451,0.0,True,1703687.040479749,True,0.0,19023549.42888104,True,0.0,True
146962.60169492898,0.0,True,2374994.772533341,True,0.0,34752069.07418408,True,0.0,True
138049.73589991961,0.0,True,743241.0477423526,True,0.0,2531382.7788261943,True,0.0,True
100414.72761660944,0.0,True,1871419.3046010463,True,0.0,18045777.157207254,True,0.0,True
17448.69908926387,0.0,True,1605935.0826549942,True,0.0,3203427.1021182644,True,0.0,True
0.0,38267.16974879177,False,641198.4676920772,True,0.0,4123280.0185871515,True,0.0,False
53386.45953063546,0.0,True,2093319.3227260688,True,0.0,22198675.558143597,True,0.0,True
245400.01810990926,0.0,True,4318420.184960886,True,0.0,37641704.92279655,True,0.0,True
29221.165249485486,0.0,True,3977552.907789711,True,0.0,45690471.1018207,True,0.0,True
186704.5293770759,0.0,True,5206085.7451046575,True,0.0,88503486.20999815,True,0.0,True
153620.78099466354,0.0,True,1683642.6441193733,True,0.0,23401689.478616774,True,0.0,True
54270.7068091845,0.0,True,2624632.6652990114,True,0.0,222447778.1551479,True,0.0,True
120995.55749184807,0.0,True,1474387.2755478646,True,0.0,9228817.718059197,True,0.0,True
129571.47883592595,0.0,True,1270672.0884756339,True,0.0,7247561.618797908,True,0.0,True
0.0,12793.817475674237,False,1229774.4201697656,True,0.0,6118027.1211920185,True,0.0,False
118698.59827838372,0.0,True,2377608.633584449,True,0.0,23851760.239036657,True,0.0,True
0.0,55270.38458267001,False,2617238.9957688646,True,0.0,19843619.412985973,True,0.0,False
199049.74825429937,0.0,True,1489172.926266516,True,0.0,24560441.20090565,True,0.0,True
24811.393017790942,0.0,True,1938698.40994155,True,0.0,21075436.58943871,True,0.0,True
167295.51846415005,0.0,True,2106166.172998941,True,0.0,44757620.77598733,True,0.0,True
39863.338325010314,0.0,True,2046630.2542766554,True,0.0,21304239.74595703,True,0.0,True
0.0,70731.83087689933,False,1736985.8530674204,True,0.0,10693221.94103173,True,0.0,False
0.0,24138.940725264154,False,1704787.5606742336,True,0.0,21684532.044960257,True,0.0,False
118889.00310740198,0.0,True,1924115.4530597043,True,0.0,21090099.33681563,True,0.0,True
66282.1730516232,0.0,True,1362238.5043275394,True,0.0,8700505.34886533,True,0.0,True
0.0,16117.241006610486,False,4305538.743598546,True,0.0,28691395.927812766,True,0.0,False
52804.85471243817,0.0,True,2542046.4048178094,True,0.0,28934855.104563948,True,0.0,True
0.0,9209.494040980551,False,2996660.6134585915,True,0.0,55643011.84388595,True,0.0,False
20310.783252708447,0.0,True,1137827.7903880922,True,0.0,26353800.628703665,True,0.0,True
23822.259775040926,0.0,True,2611207.237431077,True,0.0,43624007.82000583,True,0.0,True
51206.411877436876,0.0,True,3847538.8286039406,True,0.0,17806445.338754576,True,0.0,True
79588.47974073833,0.0,True,3738331.2272478207,True,0.0,59167193.097141,True,0.0,True
0.0,1514.1406392906465,False,3051936.2336852914,True,0.0,25429973.30739446,True,0.0,False
0.0,51536.25054826386,False,1988493.246890626,True,0.0,24136314.7645646,True,0.0,False
0.0,56147.4385935179,False,2192403.3864367697,True,0.0,46718181.711865194,True,0.0,False
79016.87422915877,0.0,True,5323244.759498972,True,0.0,55075880.32256837,True,0.0,True
76019.7827878337,0.0,True,1274131.3758835695,True,0.0,10282693.804550827,True,0.0,True
49248.69752709467,0.0,True,3018968.985218383,True,0.0,8591805.890332619,True,0.0,True
55202.315446587294,0.0,True,1580575.8229649554,True,0.0,17357704.38660073,True,0.0,True
437950.97089272377,0.0,True,1866924.1054497506,True,0.0,9652255.303883662,True,0.0,True
166548.96366579842,0.0,True,1790566.1116996936,True,0.0,22294130.843873624,True,0.0,True
34960.79518692236,0.0,True,2298961.574322423,True,0.0,13271210.783302482,True,0.0,True
147688.2163704775,0.0,True,1509124.095588752,True,0.0,6068925.099619908,True,0.0,True
126723.56739133017,0.0,True,2249547.4613983636,True,0.0,31997862.63030242,True,0.0,True
49054.726658779546,0.0,True,2421250.734834534,True,0.0,6654039.25664719,True,0.0,True
